param truth est truth_n est_n
CD0 0.16684 0.13619 0.7653 0.2983
CD0 0.10102 0.12988 -0.7306 -2.0945
CD0 0.14416 0.13849 0.2497 1.1695
CD0 0.16772 0.13524 0.7851 -0.0637
CD0 0.10680 0.13294 -0.5994 -0.9338
CD0 0.12567 0.13339 -0.1705 -0.7654
CD0 0.15193 0.13698 0.4263 0.5976
CD0 0.15412 0.13912 0.4762 1.4102
CD0 0.12888 0.13245 -0.0976 -1.1209
CD0 0.14537 0.13695 0.2772 0.5846
CD0 0.14804 0.13766 0.3378 0.8549
CD0 0.12025 0.13226 -0.2938 -1.1937
CD0 0.14655 0.13502 0.3041 -0.1458
CD0 0.13998 0.13574 0.1548 0.1254
CD0 0.15054 0.14018 0.3948 1.8099
CD0 0.13420 0.13333 0.0233 -0.7887
CD0 0.11878 0.13420 -0.3271 -0.4586
CD0 0.12740 0.13445 -0.1312 -0.3610
CD0 0.17035 0.13998 0.8449 1.7358
CD0 0.10568 0.13388 -0.6249 -0.5789
CD0 0.10222 0.13086 -0.7034 -1.7245
CD0 0.09024 0.13259 -0.9757 -1.0670
CD0 0.16416 0.13967 0.7043 1.6182
CD0 0.17617 0.13706 0.9773 0.6264
CD0 0.10998 0.13314 -0.5271 -0.8576
CD0 0.11259 0.13053 -0.4678 -1.8488
CD0 0.10663 0.13291 -0.6033 -0.9484
CD0 0.14199 0.13504 0.2004 -0.1394
CD0 0.13186 0.13763 -0.0298 0.8424
CD0 0.16138 0.13550 0.6412 0.0372
CD0 0.10763 0.13383 -0.5806 -0.5975
CD0 0.16643 0.13501 0.7559 -0.1488
CD0 0.13000 0.13574 -0.0721 0.1255
CD0 0.16026 0.13418 0.6157 -0.4641
CD0 0.15975 0.13535 0.6042 -0.0205
CD0 0.16932 0.13560 0.8215 0.0739
CD0 0.13307 0.13175 -0.0024 -1.3855
CD0 0.14282 0.13995 0.2192 1.7259
CD0 0.13854 0.13338 0.1221 -0.7679
CD0 0.10592 0.13294 -0.6194 -0.9341
CD0 0.13331 0.13821 0.0030 1.0657
CD0 0.17071 0.13977 0.8532 1.6562
CD0 0.16915 0.13627 0.8178 0.3283
CD0 0.09106 0.13051 -0.9570 -1.8583
CD0 0.14755 0.13416 0.3267 -0.4735
CD0 0.11793 0.13437 -0.3465 -0.3922
CD0 0.10113 0.13198 -0.7281 -1.2992
CD0 0.10144 0.13154 -0.7211 -1.4677
CD0 0.15913 0.13829 0.5899 1.0937
CD0 0.17358 0.13664 0.9183 0.4672
CD0 0.13495 0.13465 0.0405 -0.2880
CD0 0.12292 0.13575 -0.2330 0.1325
CD0 0.13404 0.14015 0.0198 1.8017
CD0 0.16215 0.13527 0.6586 -0.0524
CD0 0.15489 0.13934 0.4935 1.4910
CD0 0.09481 0.13325 -0.8718 -0.8193
CD0 0.10787 0.13387 -0.5749 -0.5821
CD0 0.16553 0.13603 0.7354 0.2358
CD0 0.13256 0.13488 -0.0138 -0.2006
CD0 0.14705 0.13595 0.3155 0.2068
CD0 0.15759 0.13792 0.5550 0.9532
CD0 0.14519 0.13663 0.2732 0.4639
CD0 0.15375 0.13946 0.4678 1.5368
k 0.06173 0.06002 0.0913 0.2655
k 0.05219 0.05973 -0.5413 -1.3010
k 0.05091 0.05985 -0.6258 -0.6554
k 0.07525 0.06011 0.9871 0.7226
k 0.04558 0.05984 -0.9790 -0.7033
k 0.06612 0.06007 0.3818 0.5090
k 0.07184 0.06017 0.7613 1.0276
k 0.05225 0.05969 -0.5372 -1.5544
k 0.04673 0.06005 -0.9029 0.4044
k 0.05731 0.05976 -0.2015 -1.1373
k 0.05522 0.06000 -0.3401 0.1113
k 0.05920 0.06013 -0.0768 0.8305
k 0.05816 0.05997 -0.1452 -0.0088
k 0.07369 0.06003 0.8840 0.2937
k 0.04887 0.06009 -0.7613 0.5987
k 0.07375 0.06015 0.8880 0.9404
k 0.04665 0.05985 -0.9085 -0.6547
k 0.07358 0.06011 0.8765 0.7141
k 0.05532 0.06005 -0.3340 0.4241
k 0.06721 0.06009 0.4542 0.5957
k 0.04536 0.05960 -0.9938 -2.0129
k 0.05876 0.06013 -0.1054 0.8541
k 0.06572 0.05953 0.3555 -2.3883
k 0.06423 0.05949 0.2566 -2.5973
k 0.06960 0.06002 0.6127 0.2281
k 0.04990 0.05967 -0.6932 -1.6292
k 0.05737 0.06012 -0.1976 0.7870
k 0.06379 0.06013 0.2274 0.8472
k 0.04613 0.05985 -0.9425 -0.6973
k 0.07048 0.06012 0.6713 0.7528
k 0.05783 0.05978 -0.1675 -1.0723
k 0.05269 0.05957 -0.5078 -2.1845
k 0.05198 0.05966 -0.5551 -1.6752
k 0.06491 0.06019 0.3018 1.1499
k 0.04671 0.05975 -0.9043 -1.1855
k 0.05264 0.06008 -0.5111 0.5443
k 0.05444 0.06000 -0.3922 0.1345
k 0.05307 0.06013 -0.4830 0.8365
k 0.06731 0.06018 0.4612 1.1099
k 0.06314 0.06004 0.1849 0.3726
k 0.07255 0.06023 0.8079 1.3485
k 0.06642 0.05999 0.4020 0.0674
k 0.05415 0.06014 -0.4111 0.8589
k 0.05505 0.06015 -0.3515 0.9137
k 0.04899 0.06001 -0.7535 0.2062
k 0.05259 0.06014 -0.5149 0.8945
k 0.06351 0.06020 0.2092 1.2127
k 0.06733 0.05952 0.4620 -2.4590
k 0.05420 0.06008 -0.4082 0.5465
k 0.05565 0.05969 -0.3115 -1.5141
k 0.06950 0.05977 0.6058 -1.1055
k 0.07419 0.06007 0.9170 0.4889
k 0.04782 0.06016 -0.8306 0.9639
k 0.04742 0.05988 -0.8575 -0.5125
k 0.06818 0.06005 0.5184 0.3824
k 0.06022 0.06008 -0.0086 0.5742
k 0.05809 0.05998 -0.1500 0.0285
k 0.06439 0.05985 0.2671 -0.6764
k 0.06821 0.06012 0.5208 0.8021
k 0.04737 0.05975 -0.8603 -1.1871
k 0.07429 0.06006 0.9236 0.4687
k 0.07418 0.06011 0.9161 0.7330
k 0.05784 0.06001 -0.1667 0.1751
k 0.05944 0.05981 -0.0609 -0.9010
k 0.05348 0.06006 -0.4554 0.4315
k 0.06299 0.05984 0.1750 -0.7226
k 0.05146 0.06019 -0.5897 1.1325
k 0.06140 0.05963 0.0692 -1.8441
k 0.07256 0.06015 0.8087 0.9233
k 0.06054 0.06013 0.0124 0.8182
k 0.07023 0.06010 0.6542 0.6515
k 0.05067 0.06016 -0.6416 0.9818
k 0.07193 0.06011 0.7670 0.7150
k 0.04898 0.06008 -0.7536 0.5874
k 0.05169 0.05991 -0.5743 -0.3638
k 0.06700 0.05980 0.4405 -0.9207
k 0.05438 0.05969 -0.3960 -1.5239
k 0.04885 0.05987 -0.7622 -0.5657
k 0.04789 0.06013 -0.8264 0.8229
k 0.06921 0.06010 0.5866 0.6737
k 0.04586 0.05955 -0.9605 -2.2666
k 0.04697 0.05971 -0.8873 -1.4193
k 0.07380 0.06008 0.8910 0.5834
k 0.06887 0.06004 0.5643 0.3506
k 0.05644 0.06020 -0.2591 1.2056
k 0.05107 0.06018 -0.6152 1.0988
k 0.07144 0.06020 0.7344 1.1831
k 0.06904 0.06003 0.5753 0.2969
k 0.06544 0.06010 0.3370 0.6693
k 0.06127 0.06008 0.0608 0.5814
k 0.06112 0.06002 0.0505 0.2551
k 0.07478 0.06014 0.9559 0.8729
k 0.06103 0.05990 0.0446 -0.3818
k 0.04780 0.05978 -0.8319 -1.0535
k 0.04752 0.06014 -0.8504 0.8954
k 0.06324 0.05983 0.1911 -0.8044
k 0.06738 0.06003 0.4654 0.3174
k 0.06422 0.06004 0.2565 0.3212
k 0.06768 0.05997 0.4856 -0.0268
k 0.05414 0.05990 -0.4116 -0.3827
kappa 2.27488 2.74707 -0.2577 -0.2534
kappa 1.81647 2.74000 -0.4693 -0.6810
kappa 2.28125 2.74933 -0.2548 -0.1167
kappa 1.82206 2.73622 -0.4667 -0.9096
kappa 4.28127 2.76889 0.6683 1.0667
kappa 1.30725 2.71812 -0.7043 -2.0049
kappa 1.56752 2.72127 -0.5842 -1.8144
kappa 3.76099 2.76869 0.4282 1.0547
kappa 2.39099 2.75295 -0.2042 0.1021
kappa 2.14550 2.76095 -0.3175 0.5866
kappa 4.88930 2.77103 0.9489 1.1959
kappa 4.53981 2.77591 0.7876 1.4911
kappa 1.61542 2.74506 -0.5621 -0.3749
kappa 1.33983 2.74029 -0.6893 -0.6633
kappa 2.80025 2.75436 -0.0153 0.1877
kappa 3.15449 2.77088 0.1482 1.1870
kappa 2.16915 2.76324 -0.3065 0.7250
kappa 3.22955 2.75760 0.1829 0.3836
kappa 3.60546 2.76450 0.3564 0.8012
kappa 4.19671 2.76248 0.6292 0.6789
kappa 1.71606 2.75706 -0.5157 0.3507
kappa 3.46215 2.75896 0.2902 0.4661
kappa 0.91842 2.73549 -0.8838 -0.9537
kappa 0.94750 2.73914 -0.8704 -0.7334
kappa 0.90654 2.72726 -0.8893 -1.4516
kappa 1.17095 2.72725 -0.7673 -1.4522
kappa 4.05428 2.76880 0.5635 1.0612
kappa 2.27377 2.74588 -0.2583 -0.3257
kappa 2.80222 2.75287 -0.0144 0.0972
kappa 2.62057 2.75991 -0.0982 0.5234
kappa 1.56397 2.74066 -0.5859 -0.6412
kappa 0.86503 2.73257 -0.9084 -1.1308
kappa 1.45460 2.73612 -0.6363 -0.9157
kappa 4.38593 2.77292 0.7166 1.3106
kappa 2.13407 2.74742 -0.3227 -0.2320
kappa 2.48899 2.76006 -0.1589 0.5322
kappa 1.81241 2.74339 -0.4712 -0.4763
kappa 3.87858 2.77603 0.4824 1.4987
kappa 3.71025 2.75569 0.4047 0.2682
kappa 2.32993 2.74170 -0.2323 -0.5784
kappa 2.86100 2.75505 0.0128 0.2295
kappa 2.38186 2.74467 -0.2084 -0.3985
kappa 3.15108 2.76130 0.1467 0.6074
kappa 3.23889 2.77694 0.1872 1.5537
kappa 3.16894 2.75785 0.1549 0.3990
kappa 4.57352 2.76628 0.8032 0.9086
kappa 4.78441 2.77300 0.9005 1.3154
kappa 0.88939 2.72676 -0.8972 -1.4822
kappa 2.31224 2.75544 -0.2405 0.2529
kappa 0.84151 2.72308 -0.9193 -1.7045
kappa 2.29030 2.76043 -0.2506 0.5548
kappa 4.14661 2.76318 0.6061 0.7210
kappa 3.61114 2.76718 0.3590 0.9629
kappa 3.12511 2.76378 0.1347 0.7577
kappa 1.04064 2.72607 -0.8274 -1.5236
kappa 4.18260 2.76871 0.6227 1.0557
kappa 3.32057 2.76171 0.2249 0.6325
kappa 1.97808 2.75052 -0.3947 -0.0449
kappa 4.06977 2.75568 0.5707 0.2677
kappa 0.83594 2.72076 -0.9219 -1.8449
kappa 1.47936 2.73495 -0.6249 -0.9867
kappa 4.08619 2.77251 0.5782 1.2857
kappa 0.86558 2.72481 -0.9082 -1.6001
kappa 1.23931 2.73600 -0.7357 -0.9230
kappa 2.84034 2.76422 0.0032 0.7841
kappa 3.74386 2.76644 0.4202 0.9184
kappa 3.22012 2.76302 0.1785 0.7115
kappa 0.82675 2.71769 -0.9261 -2.0306
kappa 1.85747 2.74636 -0.4504 -0.2965
kappa 3.72690 2.76149 0.4124 0.6188
kappa 2.17636 2.75087 -0.3032 -0.0234
kappa 1.50828 2.72425 -0.6116 -1.6342
kappa 0.67653 2.72207 -0.9954 -1.7660
kappa 1.80508 2.74156 -0.4746 -0.5870
kappa 4.70003 2.77289 0.8616 1.3085
kappa 0.88135 2.72906 -0.9009 -1.3427
kappa 3.06363 2.76323 0.1063 0.7243
kappa 4.60860 2.77050 0.8194 1.1640
kappa 3.70261 2.75832 0.4012 0.4273
kappa 1.88422 2.75167 -0.4381 0.0246
kappa 3.47719 2.77450 0.2972 1.4063
kappa 1.18405 2.73257 -0.7612 -1.1307
kappa 2.82854 2.74619 -0.0022 -0.3064
kappa 1.80727 2.73897 -0.4736 -0.7432
kappa 4.46125 2.77150 0.7513 1.2245
kappa 4.41921 2.75663 0.7319 0.3250
kappa 3.96793 2.75905 0.5237 0.4711
kappa 2.29410 2.74731 -0.2489 -0.2387
kappa 4.12006 2.76986 0.5939 1.1255
kappa 4.91275 2.75343 0.9597 0.1315
kappa 2.26758 2.75105 -0.2611 -0.0123
kappa 2.94251 2.74899 0.0504 -0.1370
kappa 1.37056 2.72146 -0.6751 -1.8027
kappa 1.13610 2.72727 -0.7833 -1.4512
kappa 3.78728 2.76301 0.4403 0.7107
kappa 0.92788 2.73183 -0.8794 -1.1751
kappa 3.27253 2.76753 0.2027 0.9843
kappa 1.15899 2.72252 -0.7728 -1.7388
kappa 3.56579 2.77147 0.3381 1.2225
kappa 3.93164 2.77238 0.5069 1.2778
g 0.99409 0.95172 0.8818 0.9705
g 0.93899 0.95155 -0.2202 0.0665
g 0.93895 0.95154 -0.2210 0.0004
g 0.93996 0.95170 -0.2007 0.8716
g 0.97058 0.95143 0.4116 -0.5310
g 0.97877 0.95180 0.5754 1.3903
g 0.91157 0.95169 -0.7685 0.8096
g 0.93248 0.95130 -0.3505 -1.2190
g 0.90552 0.95157 -0.8895 0.1827
g 0.92349 0.95146 -0.5302 -0.3797
g 0.97337 0.95133 0.4675 -1.0764
g 0.99368 0.95158 0.8736 0.2159
g 0.99803 0.95180 0.9607 1.3528
g 0.90682 0.95153 -0.8637 -0.0418
g 0.94019 0.95160 -0.1962 0.3532
g 0.98724 0.95188 0.7449 1.8117
g 0.95048 0.95160 0.0096 0.3362
g 0.93495 0.95148 -0.3010 -0.3174
g 0.97824 0.95161 0.5647 0.3957
g 0.98643 0.95151 0.7287 -0.1109
g 0.91459 0.95143 -0.7081 -0.5676
g 0.95172 0.95154 0.0343 0.0212
g 0.91472 0.95097 -0.7056 -2.9431
g 0.91802 0.95111 -0.6396 -2.2192
g 0.95307 0.95144 0.0613 -0.4997
g 0.92528 0.95145 -0.4944 -0.4572
g 0.98050 0.95152 0.6101 -0.0681
g 0.93654 0.95173 -0.2692 1.0090
g 0.91813 0.95139 -0.6374 -0.7716
g 0.96292 0.95169 0.2585 0.8003
g 0.92620 0.95161 -0.4759 0.3771
g 0.90664 0.95114 -0.8672 -2.0846
g 0.99991 0.95170 0.9982 0.8450
g 0.91843 0.95155 -0.6315 0.0581
g 0.91313 0.95145 -0.7374 -0.4476
g 0.94806 0.95165 -0.0389 0.6112
g 0.90040 0.95146 -0.9921 -0.4166
g 0.97893 0.95172 0.5787 0.9687
g 0.90752 0.95156 -0.8496 0.1368
g 0.90395 0.95145 -0.9209 -0.4584
g 0.99660 0.95180 0.9321 1.3562
g 0.95167 0.95161 0.0335 0.3836
g 0.99288 0.95178 0.8575 1.2641
g 0.98971 0.95179 0.7942 1.3072
g 0.97340 0.95164 0.4680 0.5631
g 0.90297 0.95147 -0.9407 -0.3673
g 0.96438 0.95173 0.2875 1.0251
g 0.90650 0.95089 -0.8699 -3.3728
g 0.90107 0.95163 -0.9787 0.5030
g 0.98444 0.95134 0.6888 -1.0178
g 0.93068 0.95158 -0.3864 0.2283
g 0.97472 0.95147 0.4943 -0.3375
g 0.95298 0.95171 0.0596 0.8859
g 0.97841 0.95166 0.5682 0.6351
g 0.96398 0.95175 0.2796 1.1333
g 0.99728 0.95143 0.9455 -0.5375
g 0.94748 0.95134 -0.0505 -1.0091
g 0.98532 0.95183 0.7064 1.5320
g 0.98218 0.95157 0.6436 0.1632
g 0.95867 0.95134 0.1734 -1.0131
g 0.95063 0.95170 0.0127 0.8530
g 0.94302 0.95160 -0.1397 0.3132
g 0.96460 0.95161 0.2921 0.4007
g 0.91958 0.95148 -0.6083 -0.3016
g 0.94392 0.95153 -0.1216 -0.0464
g 0.96471 0.95153 0.2942 -0.0371
g 0.93074 0.95168 -0.3853 0.7653
g 0.92167 0.95111 -0.5666 -2.2396
g 0.91063 0.95161 -0.7873 0.3939
g 0.98045 0.95156 0.6090 0.1415
g 0.98757 0.95189 0.7515 1.8250
g 0.98340 0.95183 0.6680 1.5432
g 0.97065 0.95148 0.4130 -0.2833
