it n time energy barrier aux reached lf_min al_max
223 171 8.4088 0.4162 5.7571 0.7014 0.278 0.724 4.16
224 172 8.3059 0.4140 6.1079 0.6437 0.275 0.735 6.13
225 172 8.4554 0.4255 5.8716 0.7185 0.275 0.686 5.56
226 173 8.3698 0.4278 5.8241 0.6987 0.281 0.672 6.18
227 173 8.3515 0.4210 5.5796 0.7400 0.284 0.684 12.16
228 174 8.5545 0.4215 5.7075 0.7454 0.278 0.739 3.51
229 174 8.5762 0.3933 5.5904 0.7146 0.256 0.738 5.27
230 175 8.3615 0.4087 5.2617 0.7194 0.263 0.676 1.95
231 175 8.6175 0.4026 5.2285 0.7229 0.250 0.577 3.18
232 176 8.7276 0.4064 5.6532 0.7645 0.237 0.680 3.81
233 176 8.6396 0.4138 5.5859 0.7795 0.237 0.702 3.58
234 177 8.5596 0.4097 5.5605 0.7829 0.247 0.771 4.59
235 177 8.5620 0.4138 5.5531 0.7752 0.253 0.704 5.52
236 178 8.7212 0.4241 5.7623 0.7653 0.244 0.627 3.34
237 178 8.6924 0.4275 6.3007 0.7840 0.241 0.523 8.12
238 179 8.6737 0.4173 6.5047 0.7450 0.253 0.663 5.16
239 179 8.8285 0.4216 7.1030 0.6919 0.278 0.678 3.58
240 180 8.6743 0.4182 7.4342 0.6953 0.291 0.578 5.91
241 180 8.7341 0.4071 7.2775 0.7512 0.300 0.747 4.27
242 181 8.8212 0.4261 7.1853 0.7605 0.303 0.740 4.06
243 181 8.9542 0.4199 7.1291 0.7710 0.294 0.748 3.53
244 182 8.9487 0.4162 6.8609 0.7279 0.278 0.715 4.81
245 182 8.8568 0.4266 6.5869 0.7059 0.269 0.637 3.77
246 183 8.9788 0.4234 6.6562 0.7555 0.272 0.705 3.63
247 183 8.7060 0.4153 6.2036 0.7499 0.275 0.573 5.81
248 184 8.9953 0.4204 5.9321 0.7379 0.263 0.676 5.87
249 184 9.0451 0.4177 5.2965 0.7102 0.253 0.674 4.37
250 185 9.0334 0.4041 5.2641 0.7944 0.234 0.777 9.79
251 185 9.0545 0.4221 5.5589 0.8003 0.228 0.693 7.41
252 186 8.9763 0.4420 5.4609 0.7946 0.247 0.749 5.08
253 186 9.0864 0.4269 5.5925 0.7322 0.263 0.644 2.80
254 187 9.0789 0.4347 5.8060 0.7264 0.266 0.677 3.27
255 187 9.0080 0.4445 6.1807 0.8056 0.284 0.640 2.13
256 188 9.1047 0.4459 5.9927 0.7427 0.300 0.713 5.35
257 188 9.1865 0.4409 6.1140 0.7958 0.303 0.691 1.57
258 189 9.2422 0.4252 6.1637 0.8513 0.297 0.630 4.43
259 189 9.1462 0.4295 6.2038 0.8228 0.313 0.774 6.26
260 190 9.2323 0.4287 6.2841 0.7358 0.309 0.661 2.08
261 190 9.2948 0.4188 5.8478 0.7584 0.309 0.718 4.53
262 191 9.2801 0.4301 5.9616 0.8654 0.294 0.625 6.69
263 191 9.1841 0.4517 6.1886 0.7560 0.297 0.718 3.28
264 192 9.2774 0.4380 6.4578 0.8401 0.312 0.768 3.67
265 192 9.1664 0.4321 5.9577 0.7039 0.306 0.635 4.14
266 193 9.2690 0.4268 5.7064 0.8508 0.316 0.678 4.40
267 193 9.4118 0.4278 5.2973 0.8279 0.309 0.750 4.03
268 194 9.5836 0.4330 5.3450 0.8443 0.319 0.694 4.38
269 194 9.4168 0.4314 5.4315 0.8335 0.322 0.771 6.90
270 195 9.5142 0.4264 5.3439 0.8493 0.325 0.704 4.59
271 195 9.4426 0.4589 5.8648 0.7810 0.344 0.676 4.58
272 196 9.5468 0.4578 6.2101 0.8486 0.347 0.681 3.18
