it n time energy barrier aux reached lf_min al_max
237 178 8.7385 0.8074 10.4499 0.7846 0.306 0.453 8.09
238 179 8.4149 0.7849 10.6475 0.7570 0.325 0.580 10.31
239 179 8.7597 0.8195 11.5890 0.6970 0.316 0.586 14.99
240 180 8.7020 0.8897 12.2069 0.7029 0.309 0.441 14.99
241 180 8.5760 0.7958 11.8846 0.7621 0.325 0.615 3.47
242 181 8.9286 0.8116 11.2510 0.7723 0.325 0.580 4.70
243 181 8.7706 0.7857 10.9400 0.7850 0.322 0.501 3.55
244 182 8.6508 0.7705 10.2793 0.7347 0.309 0.605 5.81
245 182 8.7818 0.8023 9.6619 0.7079 0.300 0.484 3.57
246 183 8.9943 0.8452 9.8895 0.7601 0.300 0.557 4.20
247 183 8.9716 0.8251 9.1340 0.7586 0.303 0.486 4.86
248 184 9.0518 0.7669 9.1032 0.7408 0.278 0.613 3.96
249 184 8.9824 0.9301 8.3777 0.7162 0.266 0.529 4.24
250 185 8.9209 0.8526 7.7046 0.7903 0.272 0.630 3.69
251 185 9.1063 0.8231 8.4049 0.8105 0.250 0.567 12.25
252 186 8.9017 0.8574 8.6125 0.8052 0.269 0.568 3.34
253 186 9.1001 0.8942 9.1067 0.7328 0.263 0.546 2.92
254 187 8.8946 0.8012 9.5129 0.7337 0.259 0.563 14.97
255 187 8.7966 0.7342 10.0423 0.7987 0.284 0.564 9.16
256 188 9.0282 0.7637 9.7285 0.7343 0.297 0.549 5.98
257 188 9.2356 0.8687 9.7676 0.8094 0.294 0.668 2.21
258 189 9.0784 0.7682 9.4546 0.8622 0.303 0.663 5.45
259 189 8.9948 0.7774 9.2943 0.8209 0.334 0.633 6.92
260 190 9.2656 0.8453 9.9545 0.7345 0.331 0.625 8.94
261 190 9.1796 0.8383 9.4692 0.7619 0.344 0.698 12.40
262 191 9.3125 0.7769 9.5000 0.8695 0.344 0.503 7.04
263 191 9.1166 0.7498 9.4922 0.7581 0.362 0.565 7.05
264 192 9.3263 0.7851 9.4269 0.8384 0.372 0.544 2.32
265 192 9.2507 0.7860 8.8275 0.7047 0.350 0.581 3.62
266 193 9.3872 0.9079 8.9390 0.8484 0.347 0.498 9.23
267 193 9.5638 0.8289 8.9174 0.8265 0.341 0.666 3.65
268 194 9.4584 0.8629 9.2186 0.8550 0.325 0.603 6.42
269 194 9.5533 0.8912 9.4484 0.8460 0.306 0.627 6.93
270 195 9.3629 0.8257 9.6098 0.8579 0.297 0.574 3.77
271 195 9.1942 0.7929 9.9935 0.7823 0.309 0.560 4.21
272 196 9.5546 0.8359 10.2869 0.8479 0.306 0.467 5.85
273 196 9.6558 0.8847 10.3766 0.8082 0.284 0.573 4.54
274 197 9.7371 0.9269 10.4689 0.8661 0.256 0.549 14.88
275 197 9.5835 0.9149 10.5717 0.8656 0.241 0.541 5.45
276 198 9.6279 0.8765 10.8779 0.8395 0.237 0.470 7.22
277 198 9.6326 0.8040 11.1197 0.7909 0.256 0.618 6.11
278 199 9.8392 0.8969 11.1946 0.9091 0.250 0.443 4.79
