it n time energy barrier aux reached lf_min al_max
213 166 34.9968 0.6122 6.8891 0.6630 0.553 0.469 10.68
214 167 35.2471 0.6197 7.0040 0.7131 0.569 0.600 10.05
215 167 33.7984 0.6112 7.3410 0.6940 0.553 0.383 12.34
216 168 33.3492 0.5971 7.4478 0.6547 0.569 0.455 12.46
217 168 36.2984 0.6142 7.8081 0.6640 0.562 0.379 12.32
218 169 34.2184 0.6023 7.6209 0.6614 0.566 0.558 13.84
219 169 34.1232 0.6039 7.4769 0.6939 0.562 0.604 15.00
220 170 36.1157 0.5991 7.3865 0.6715 0.569 0.480 11.29
221 170 34.8738 0.6087 7.3263 0.6434 0.578 0.557 14.87
222 171 33.2574 0.6291 6.9579 0.7164 0.578 0.574 10.21
223 171 34.3419 0.6360 7.0516 0.7060 0.556 0.493 4.00
224 172 37.4582 0.6347 7.1328 0.6568 0.525 0.385 10.61
225 172 39.7940 0.6270 6.8506 0.7274 0.500 0.468 10.85
226 173 35.5102 0.6599 6.9466 0.6925 0.481 0.491 9.00
227 173 37.4598 0.6252 6.6132 0.7364 0.478 0.596 9.03
228 174 36.7972 0.6683 6.6292 0.7406 0.456 0.623 6.97
229 174 33.9878 0.6502 6.5155 0.7234 0.450 0.603 7.23
230 175 33.1795 0.6722 6.1588 0.7221 0.444 0.513 5.01
231 175 38.5616 0.6623 6.0983 0.7263 0.444 0.576 7.59
232 176 36.8854 0.6443 6.4884 0.7727 0.428 0.475 9.89
233 176 34.8509 0.6730 6.5519 0.7830 0.431 0.457 10.72
234 177 34.7876 0.6535 6.6356 0.7948 0.466 0.357 10.95
235 177 35.2041 0.6745 6.6867 0.7778 0.500 0.559 12.12
236 178 35.7010 0.6625 6.6466 0.7613 0.519 0.620 8.45
237 178 38.4149 0.6734 7.1308 0.7846 0.525 0.534 14.86
238 179 34.1608 0.6809 7.2085 0.7570 0.559 0.562 10.01
239 179 35.6947 0.6559 7.4783 0.6970 0.572 0.611 7.32
240 180 34.7219 0.6651 7.7278 0.7029 0.597 0.550 14.99
241 180 37.5653 0.6576 7.6254 0.7621 0.603 0.648 11.54
242 181 39.3554 0.6661 7.3543 0.7723 0.600 0.567 11.09
243 181 36.8756 0.6750 7.1976 0.7850 0.603 0.504 9.52
244 182 39.6880 0.6687 7.0153 0.7347 0.581 0.575 9.60
245 182 36.0757 0.6895 6.7642 0.7079 0.572 0.561 7.33
246 183 38.9291 0.6615 6.9122 0.7601 0.544 0.461 9.45
247 183 35.8862 0.6731 6.5607 0.7586 0.556 0.514 9.30
248 184 37.6178 0.6784 6.6605 0.7408 0.541 0.571 10.71
249 184 38.4195 0.6584 6.5496 0.7162 0.528 0.559 12.93
250 185 37.6917 0.6887 6.3018 0.7903 0.500 0.618 11.65
251 185 39.6411 0.6738 6.6713 0.8105 0.488 0.416 12.09
252 186 36.7548 0.6925 6.7681 0.8052 0.497 0.587 9.85
253 186 40.5022 0.6776 6.9928 0.7328 0.484 0.484 7.49
254 187 37.1964 0.7026 7.1159 0.7337 0.491 0.526 7.92
255 187 36.1480 0.7125 7.2271 0.7987 0.491 0.576 7.13
256 188 37.6220 0.7194 7.0814 0.7343 0.519 0.603 10.86
257 188 37.6315 0.6999 6.9009 0.8094 0.528 0.615 7.75
258 189 39.1739 0.7244 6.7722 0.8622 0.531 0.445 7.25
259 189 35.7219 0.7275 6.6605 0.8209 0.559 0.428 8.45
260 190 39.6557 0.7118 6.9876 0.7345 0.569 0.564 11.40
261 190 37.3911 0.7163 6.6799 0.7619 0.588 0.489 6.94
262 191 39.8700 0.7356 6.7249 0.8695 0.594 0.591 14.97
263 191 36.9483 0.7304 6.7321 0.7581 0.616 0.476 14.94
264 192 37.2906 0.7498 6.6676 0.8384 0.613 0.378 10.78
265 192 38.4311 0.7286 6.5448 0.7047 0.616 0.610 9.47
266 193 37.5387 0.7278 6.5536 0.8484 0.622 0.465 8.84
267 193 41.2114 0.7439 6.5809 0.8265 0.597 0.618 9.15
268 194 41.6454 0.7168 6.7136 0.8550 0.588 0.658 13.58
269 194 40.0325 0.7000 6.8009 0.8460 0.584 0.552 10.56
270 195 40.4401 0.7284 6.6869 0.8579 0.581 0.608 9.74
271 195 37.1441 0.7496 6.7902 0.7823 0.600 0.608 7.96
272 196 37.9121 0.7769 6.9626 0.8479 0.606 0.481 10.25
273 196 37.0438 0.7332 6.8611 0.8082 0.625 0.526 6.34
274 197 40.1597 0.7188 6.8848 0.8661 0.631 0.543 10.02
275 197 38.2108 0.7503 6.9562 0.8656 0.641 0.349 8.77
276 198 39.0368 0.7704 7.1713 0.8395 0.634 0.561 8.41
277 198 38.5133 0.8093 7.2360 0.7909 0.663 0.537 8.84
278 199 42.1951 0.7852 7.3431 0.9091 0.666 0.228 13.24
279 199 38.0310 0.7818 7.4215 0.8932 0.650 0.598 10.21
280 200 38.3929 0.7926 7.3860 0.8486 0.666 0.467 8.04
281 200 38.0792 0.7961 7.4496 0.8605 0.659 0.453 10.20
282 201 40.6406 0.7753 7.2887 0.9228 0.672 0.542 8.94
283 201 39.7389 0.8013 7.3168 0.8894 0.659 0.356 9.81
284 202 37.1872 0.8336 7.2562 0.7620 0.681 0.608 14.93
285 202 39.3155 0.7835 7.3490 0.8120 0.684 0.509 14.98
286 203 41.1342 0.7942 7.2164 0.8153 0.688 0.562 10.65
287 203 42.5205 0.8348 7.1861 0.8040 0.656 0.623 10.06
288 204 41.5709 0.8362 6.9681 0.7758 0.653 0.554 9.70
289 204 42.1413 0.8156 7.1278 0.7966 0.644 0.516 14.30
290 205 43.2371 0.8357 7.4775 0.8194 0.625 0.374 12.15
291 205 42.8988 0.8404 7.6862 0.7844 0.603 0.558 7.05
292 206 46.1742 0.8542 7.5645 0.8061 0.581 0.553 7.70
293 206 41.6763 0.8854 7.6200 0.8956 0.562 0.503 9.47
294 207 41.7965 0.8911 7.5807 0.8994 0.547 0.454 13.24
295 207 40.7044 0.8961 7.5610 0.8818 0.544 0.559 14.96
296 208 44.8063 0.8387 7.5227 0.8936 0.541 0.504 12.66
297 208 41.7347 0.8734 7.8295 0.9245 0.550 0.509 13.68
298 209 43.8486 0.8823 8.2961 0.8753 0.566 0.542 8.89
299 209 42.6728 0.8779 8.2840 0.8980 0.581 0.483 9.73
300 210 42.0514 0.9039 8.0698 0.8638 0.603 0.511 13.47
301 210 43.9678 0.8892 8.1337 0.9083 0.619 0.552 8.84
302 211 41.3148 0.9770 8.3769 0.9305 0.638 0.321 8.22
303 211 42.9447 0.9270 8.3139 0.9141 0.672 0.587 10.21
304 212 42.6427 0.9048 8.3706 0.8682 0.669 0.587 14.95
305 212 44.3954 0.8771 8.4599 0.8986 0.669 0.427 14.45
306 213 43.3521 0.8663 8.1615 0.8526 0.669 0.667 11.54
307 213 42.7717 0.8882 8.1283 0.8790 0.688 0.491 9.66
308 214 41.3748 0.9198 7.7320 0.8962 0.688 0.574 11.26
309 214 42.6775 0.9619 8.1515 0.9078 0.688 0.310 11.76
310 215 43.0023 0.9326 8.3376 0.9926 0.688 0.483 11.27
311 215 42.4508 0.9766 8.0007 0.9571 0.675 0.577 10.32
312 216 42.8105 0.9104 8.1067 0.8513 0.678 0.465 10.91
313 216 43.1217 0.9094 8.1932 0.9021 0.675 0.525 12.05
314 217 45.2567 0.9627 8.1871 0.9191 0.681 0.379 14.93
315 217 42.8534 0.9440 8.1410 0.9073 0.703 0.441 12.03
316 218 42.4552 0.9341 8.5894 0.9675 0.716 0.547 12.32
317 218 40.9916 0.9603 8.5796 0.9300 0.703 0.509 5.89
318 219 44.8067 0.9976 8.8510 0.9198 0.681 0.458 7.02
319 219 43.7237 0.9936 8.4489 0.8832 0.678 0.568 12.11
320 220 46.5585 0.9897 8.3936 0.9909 0.647 0.098 12.29
321 220 42.6977 1.0126 8.6724 0.9136 0.650 0.405 10.97
322 221 43.9712 0.9243 8.5354 0.9048 0.628 0.314 9.50
323 221 43.9060 0.9558 8.6178 0.9763 0.603 0.487 8.98
324 222 46.9582 0.9284 8.6996 0.9295 0.591 0.602 11.50
325 222 45.7021 0.9802 8.6286 0.8970 0.559 0.499 10.13
326 223 46.4080 0.9642 8.5700 0.9144 0.550 0.550 8.30
327 223 44.4897 0.9606 8.5041 0.9543 0.553 0.597 14.99
328 224 42.9892 0.9268 8.2887 0.9208 0.575 0.609 10.14
329 224 44.3672 0.9790 8.1033 0.9786 0.575 0.408 12.59
330 225 47.0139 0.9720 8.0755 0.9854 0.591 0.373 13.36
331 225 45.6891 0.9364 8.1397 0.8883 0.600 0.516 12.54
332 226 44.1135 0.9622 8.3022 0.9339 0.603 0.503 14.86
333 226 46.7328 0.9740 8.0752 0.9711 0.622 0.545 9.31
334 227 42.9285 1.0208 7.9566 0.8709 0.634 0.599 7.86
