V alpha_deg Tr h feas
5.000 5.00 9.8 -46.162 0
5.000 5.00 19.7 -36.366 0
5.000 5.00 29.5 -26.570 0
5.000 5.00 39.3 -16.774 0
5.000 5.00 49.2 -6.978 0
5.000 5.00 59.0 2.818 0
5.000 5.00 68.8 12.614 0
5.000 5.00 78.7 22.410 1
5.000 5.00 88.5 32.206 1
5.000 5.00 98.3 42.002 1
5.000 5.00 108.2 51.798 1
5.000 5.00 118.0 61.594 1
5.500 -10.00 0.0 -63.279 0
5.500 -10.00 9.8 -53.595 0
5.500 -10.00 19.7 -43.912 0
5.500 -10.00 29.5 -34.228 0
5.500 -10.00 39.3 -24.544 0
5.500 -10.00 49.2 -14.860 0
5.500 -10.00 59.0 -5.176 0
5.500 -10.00 68.8 4.508 0
5.500 -10.00 78.7 14.192 1
5.500 -10.00 88.5 23.876 1
5.500 -10.00 98.3 33.560 1
5.500 -10.00 108.2 43.244 1
5.500 -10.00 118.0 52.928 1
5.500 -9.00 0.0 -62.543 0
5.500 -9.00 9.8 -52.830 0
5.500 -9.00 19.7 -43.118 0
5.500 -9.00 29.5 -33.406 0
5.500 -9.00 39.3 -23.693 0
5.500 -9.00 49.2 -13.981 0
5.500 -9.00 59.0 -4.269 0
5.500 -9.00 68.8 5.443 0
5.500 -9.00 78.7 15.156 1
5.500 -9.00 88.5 24.868 1
5.500 -9.00 98.3 34.580 1
5.500 -9.00 108.2 44.292 1
5.500 -9.00 118.0 54.005 1
5.500 -8.00 0.0 -61.806 0
5.500 -8.00 9.8 -52.068 0
5.500 -8.00 19.7 -42.330 0
5.500 -8.00 29.5 -32.593 0
5.500 -8.00 39.3 -22.855 0
5.500 -8.00 49.2 -13.117 0
5.500 -8.00 59.0 -3.380 0
5.500 -8.00 68.8 6.358 0
5.500 -8.00 78.7 16.095 1
5.500 -8.00 88.5 25.833 1
5.500 -8.00 98.3 35.571 1
5.500 -8.00 108.2 45.308 1
5.500 -8.00 118.0 55.046 1
5.500 -7.00 0.0 -61.069 0
5.500 -7.00 9.8 -51.309 0
5.500 -7.00 19.7 -41.549 0
5.500 -7.00 29.5 -31.789 0
5.500 -7.00 39.3 -22.029 0
5.500 -7.00 49.2 -12.269 0
5.500 -7.00 59.0 -2.509 0
5.500 -7.00 68.8 7.252 0
5.500 -7.00 78.7 17.012 1
5.500 -7.00 88.5 26.772 1
5.500 -7.00 98.3 36.532 1
5.500 -7.00 108.2 46.292 1
5.500 -7.00 118.0 56.052 1
5.500 -6.00 0.0 -60.332 0
5.500 -6.00 9.8 -50.552 0
5.500 -6.00 19.7 -40.773 0
5.500 -6.00 29.5 -30.993 0
5.500 -6.00 39.3 -21.214 0
5.500 -6.00 49.2 -11.435 0
5.500 -6.00 59.0 -1.655 0
5.500 -6.00 68.8 8.124 0
5.500 -6.00 78.7 17.904 1
5.500 -6.00 88.5 27.683 1
5.500 -6.00 98.3 37.463 1
5.500 -6.00 108.2 47.242 1
5.500 -6.00 118.0 57.022 1
5.500 -5.00 0.0 -59.595 0
5.500 -5.00 9.8 -49.799 0
